"Story","Title","Result","Date","Stability","Duration (s)"
"MERCURIO -> Desacoplamiento","Menu Administracion / Opcion mantenimiento /  Opcion item Presupuesto","SUCCESS","2020-09-08T15:11:06.49-05:00[America/Bogota]","0.0","19.9"
"MERCURIO -> Desacoplamiento","Menu Clientes / Opcion Datos basicos clientes","SUCCESS","2020-09-08T15:11:26.394-05:00[America/Bogota]","0.0","28.17"
